algorithm,input_type,n,trial,time_ns,time_ms,max_depth,comparisons,swaps,allocations,recursive_calls
MergeSort,RANDOM,1000,1,156333,0.1563,7,10517,15803,1000,127
MergeSort,RANDOM,1000,2,120333,0.1203,7,10517,15803,1000,127
MergeSort,RANDOM,1000,3,106166,0.1062,7,10517,15803,1000,127
MergeSort,RANDOM,1000,4,104958,0.1050,7,10517,15803,1000,127
MergeSort,RANDOM,1000,5,106000,0.1060,7,10517,15803,1000,127
QuickSort,RANDOM,1000,1,334084,0.3341,5,11976,4014,0,115
QuickSort,RANDOM,1000,2,346833,0.3468,5,12185,4034,0,121
QuickSort,RANDOM,1000,3,366625,0.3666,5,14216,3880,0,125
QuickSort,RANDOM,1000,4,326667,0.3267,5,11805,3970,0,115
QuickSort,RANDOM,1000,5,339917,0.3399,6,12661,4080,0,121
Arrays.sort,RANDOM,1000,1,250000,0.2500,0,0,0,0,0
Arrays.sort,RANDOM,1000,2,253625,0.2536,0,0,0,0,0
Arrays.sort,RANDOM,1000,3,124625,0.1246,0,0,0,0,0
Arrays.sort,RANDOM,1000,4,125958,0.1260,0,0,0,0,0
Arrays.sort,RANDOM,1000,5,107167,0.1072,0,0,0,0,0
MergeSort,RANDOM,5000,1,679500,0.6795,10,58990,100948,5000,1023
MergeSort,RANDOM,5000,2,1744167,1.7442,10,58990,100948,5000,1023
MergeSort,RANDOM,5000,3,694125,0.6941,10,58990,100948,5000,1023
MergeSort,RANDOM,5000,4,1073292,1.0733,10,58990,100948,5000,1023
MergeSort,RANDOM,5000,5,1458166,1.4582,10,58990,100948,5000,1023
QuickSort,RANDOM,5000,1,833667,0.8337,7,79437,22792,0,586
QuickSort,RANDOM,5000,2,449208,0.4492,7,78945,22568,0,591
QuickSort,RANDOM,5000,3,449125,0.4491,7,82625,22770,0,586
QuickSort,RANDOM,5000,4,684000,0.6840,7,77664,22994,0,592
QuickSort,RANDOM,5000,5,676917,0.6769,7,77897,22830,0,592
Arrays.sort,RANDOM,5000,1,314834,0.3148,0,0,0,0,0
Arrays.sort,RANDOM,5000,2,314000,0.3140,0,0,0,0,0
Arrays.sort,RANDOM,5000,3,310375,0.3104,0,0,0,0,0
Arrays.sort,RANDOM,5000,4,297875,0.2979,0,0,0,0,0
Arrays.sort,RANDOM,5000,5,295333,0.2953,0,0,0,0,0
